池田,ikeda,池_ike:田_da
石狩,ishikari,石_ishi:狩_kari
今金,imakane,今_ima:金_kane
岩内,iwanai,岩_iwa:内_nai
岩見沢,iwamizawa,岩_iwa:見_mi:沢_zawa
歌志内,utashinai,歌_uta:志_shi:内_nai
浦臼,urausu,浦_ura:臼_usu
浦河,urakawa,浦_ura:河_kawa
浦幌,urahoro,浦_ura:幌_horo
雨竜,uryuu,雨_u:竜_ryuu
江差,esashi,江_e:差_sashi
枝幸,esashi,枝_e:幸_sashi
恵庭,eniwa,恵_e:庭_niwa
江別,ebetsu,江_e:別_betsu
遠軽,engaru,遠_en:軽_garu
遠別,enbetsu,遠_en:別_betsu
雄武,oumu,雄_ou:武_mu
大空,oozora,大_oo:空_zora
奥尻,okushiri,奥_oku:尻_shiri
置戸,oketo,置_oke:戸_to
興部,okoppe,興_okop:部_pe
長万部,oshamanbe,長_osha:万_man:部_be
小樽,otaru,小_o:樽_taru
音威子府,otoineppu,音_oto:威_i:子_nep:府_pu
音更,otofuke,音_oto:更_fuke
乙部,otobe,乙_oto:部_be
帯広,obihiro,帯_obi:広_hiro
小平,obira,小_o:平_bira
上川,kamikawa,上_kami:川_kawa
上士幌,kamishihoro,上_kami:士_shi:幌_horo
上砂川,kamisunagawa,上_kami:砂_suna:川_gawa
上ノ国,kaminokuni,上_kami:ノ_no:国_kuni
上富良野,kamifurano,上_kami:富_fu:良_ra:野_no
神恵内,kamoenai,神_kamo:恵_e:内_nai
木古内,kikonai,木_ki:古_ko:内_nai
北広島,kitahiroshima,北_kita:広_hiro:島_shima
北見,kitami,北_kita:見_mi
喜茂別,kimobetsu,喜_ki:茂_mo:別_betsu
共和,kyouwa,共_kyou:和_wa
清里,kiyosato,清_kiyo:里_sato
釧路,kushiro,釧_kushi:路_ro
倶知安,kutchan,倶_kut:知_ch:安_an
栗山,kuriyama,栗_kuri:山_yama
黒松内,kuromatsunai,黒_kuro:松_matsu:内_nai
訓子府,kunneppu,訓_kun:子_nep:府_pu
剣淵,kenbuchi,剣_ken:淵_buchi
札幌,sapporo,札_sap:幌_poro
更別,sarabetsu,更_sara:別_betsu
様似,samani,様_sama:似_ni
猿払,sarufutsu,猿_saru:払_futsu
佐呂間,saroma,佐_sa:呂_ro:間_ma
鹿追,shikaoi,鹿_shika:追_oi
鹿部,shikabe,鹿_shika:部_be
標茶,shibecha,標_shibe:茶_cha
士別,shibetsu,士_shi:別_betsu
標津,shibetsu,標_shibe:津_tsu
士幌,shihoro,士_shi:幌_horo
島牧,shimamaki,島_shima:牧_maki
占冠,shimukappu,占_shimu:冠_kappu
下川,shimokawa,下_shimo:川_kawa
積丹,shakotan,積_shako:丹_tan
斜里,shari,斜_sha:里_ri
初山別,shosanbetsu,初_sho:山_san:別_betsu
白老,shiraoi,白_shira:老_oi
白糠,shiranuka,白_shira:糠_nuka
知内,shiriuchi,知_shiri:内_uchi
新篠津,shinshinotsu,新_shin:篠_shino:津_tsu
新得,shintoku,新_shin:得_toku
新十津川,shintotsukawa,新_shin:十_to:津_tsu:川_kawa
寿都,suttu,寿_sut:都_tu
砂川,sunagawa,砂_suna:川_gawa
壮瞥,soubetsu,壮_sou:瞥_betsu
大樹,taiki,大_tai:樹_ki
鷹栖,takasu,鷹_taka:栖_su
滝川,takikawa,滝_taki:川_kawa
滝上,takinoue,滝_takino:上_ue
秩父別,chippubetsu,秩_chip:父_pu:別_betsu
月形,tsukigata,月_tsuki:形_gata
津別,tsubetsu,津_tsu:別_betsu
鶴居,tsurui,鶴_tsuru:居_i
天塩,teshio,天_te:塩_shio
当別,toubetsu,当_tou:別_betsu
当麻,touma,当_tou:麻_ma
洞爺湖,touyako,洞_tou:爺_ya:湖_ko
苫小牧,tomakomai,苫_toma:小_ko:牧_mai
苫前,tomamae,苫_toma:前_mae
豊浦,toyoura,豊_toyo:浦_ura
豊頃,toyokoro,豊_toyo:頃_koro
豊富,toyotomi,豊_toyo:富_tomi
奈井江,naie,奈_na:井_i:江_e
中川,nakagawa,中_naka:川_gawa
中札内,nakasatsunai,中_naka:札_satsu:内_nai
中標津,nakashibetsu,中_naka:標_shibe:津_tsu
中頓別,nakatonbetsu,中_naka:頓_ton:別_betsu
長沼,naganuma,長_naga:沼_numa
中富良野,nakafurano,中_naka:富_fu:良_ra:野_no
七飯,nanae,七_nana:飯_e
名寄,nayoro,名_na:寄_yoro
南幌,nanporo,南_nan:幌_poro
新冠,niikappu,新_nii:冠_kappu
仁木,niki,仁_ni:木_ki
西興部,nishiokoppe,西_nishi:興_okop:部_pe
沼田,numata,沼_numa:田_ta
根室,nemuro,根_ne:室_muro
登別,noboribetsu,登_nobori:別_betsu
羽幌,haboro,羽_ha:幌_boro
浜頓別,hamatonbetsu,浜_hama:頓_ton:別_betsu
浜中,hamanaka,浜_hama:中_naka
美瑛,biei,美_bi:瑛_ei
東川,higashikawa,東_higashi:川_kawa
日高,hidaka,日_hi:高_daka
比布,pippu,比_pip:布_pu
美唄,bibai,美_bi:唄_bai
美深,bihuka,美_bi:深_huka
美幌,bihoro,美_bi:幌_horo
平取,biratori,平_bira:取_tori
広尾,hiroo,広_hiro:尾_o
深川,fukagawa,深_fuka:川_gawa
福島,fukushima,福_fuku:島_shima
富良野,furano,富_fu:良_ra:野_no
古平,furubira,古_furu:平_bira
別海,betsukai,別_betsu:海_kai
北斗,hokuto,北_hoku:斗_to
北竜,hokuryu,北_hoku:竜_ryu
幌加内,horokanai,幌_horo:加_ka:内_nai
幌延,horonobe,幌_horo:延_nobe
本別,honbetsu,本_hon:別_betsu
幕別,makubetsu,幕_maku:別_betsu
増毛,mashike,増_mashi:毛_ke
真狩,makkari,真_mak:狩_kari
松前,matsumae,松_matsu:前_mae
三笠,mikasa,三_mi:笠_kasa
南富良野,minamifurano,南_minami:富_fu:良_ra:野_no
室蘭,muroran,室_muro:蘭_ran
芽室,memuro,芽_me:室_muro
妹背牛,moseushi,妹_mo:背_se:牛_ushi
紋別,monbetsu,紋_mon:別_betsu
八雲,yakumo,八_ya:雲_kumo
夕張,yuubari,夕_yuu:張_bari
湧別,yuubetsu,湧_yuu:別_betsu
由仁,yuni,由_yu:仁_ni
余市,yoichi,余_yo:市_ichi
羅臼,rausu,羅_ra:臼_usu
蘭越,rankoshi,蘭_ran:越_koshi
陸別,rikubetsu,陸_riku:別_betsu
利尻,rishiri,利_ri:尻_shiri
利尻富士,rishirifuji,利_ri:尻_shiri:富_fu:士_ji
留寿都,rusutsu,留_ru:寿_su:都_tsu
留萌,rumoi,留_ru:萌_moi
礼文,rebun,礼_re:文_bun
稚内,wakkanai,稚_wakka:内_nai
和寒,wassamu,和_was:寒_samu